GO-term,TAS_stat (-log10 pvalue),CAD_stat (-log10 pvalue),Diff (TAS-CAD),Link
GOBP_DNA_TEMPLATED_DNA_REPLICATION,4.369444875,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DNA_TEMPLATED_DNA_REPLICATION
GOBP_LEUKOCYTE_CHEMOTAXIS,4.348700091,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_LEUKOCYTE_CHEMOTAXIS
GOBP_TUBE_FORMATION,4.140334552,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TUBE_FORMATION
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE,4.132107247,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,4.132083062,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,4.037632093,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME
GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,4.010943273,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM,3.992300642,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM
GOBP_CENTRIOLE_ASSEMBLY,3.955381997,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CENTRIOLE_ASSEMBLY
GOBP_REGULATION_OF_DEPHOSPHORYLATION,3.933983486,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DEPHOSPHORYLATION
GOBP_INORGANIC_ION_HOMEOSTASIS,3.92818415,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_INORGANIC_ION_HOMEOSTASIS
GOBP_MAMMARY_GLAND_MORPHOGENESIS,3.924395744,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MAMMARY_GLAND_MORPHOGENESIS
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,3.902566374,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION
GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,3.869202919,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CHONDROCYTE_DIFFERENTIATION
GOBP_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY,3.835631536,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY
GOBP_EPITHELIAL_TUBE_FORMATION,3.816736422,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_TUBE_FORMATION
GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE,3.805610136,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE
GOBP_KINETOCHORE_ASSEMBLY,3.790828234,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_KINETOCHORE_ASSEMBLY
GOBP_THYROID_GLAND_DEVELOPMENT,3.750931821,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_THYROID_GLAND_DEVELOPMENT
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,3.690523053,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOCHONDRIAL_GENE_EXPRESSION
GOBP_REGULATION_OF_DNA_BINDING,3.632975282,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DNA_BINDING
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,3.619411054,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_RRNA_METABOLIC_PROCESS,3.608630223,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RRNA_METABOLIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,3.602937487,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS,3.582856177,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS
GOBP_CENTROMERE_COMPLEX_ASSEMBLY,3.577457253,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CENTROMERE_COMPLEX_ASSEMBLY
GOBP_AMINO_ACID_METABOLIC_PROCESS,3.568630939,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AMINO_ACID_METABOLIC_PROCESS
GOBP_VESICLE_DOCKING,3.541596625,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VESICLE_DOCKING
GOBP_DENDRITIC_CELL_DIFFERENTIATION,3.530267496,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DENDRITIC_CELL_DIFFERENTIATION
GOBP_MESENCHYMAL_CELL_PROLIFERATION,3.487074269,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MESENCHYMAL_CELL_PROLIFERATION
GOBP_RESPONSE_TO_FUNGUS,3.475680735,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_FUNGUS
GOBP_KINETOCHORE_ORGANIZATION,3.460181953,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_KINETOCHORE_ORGANIZATION
GOBP_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS,3.447399715,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_RESPIRATORY_SYSTEM_PROCESS
GOBP_POSITIVE_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION,3.447399715,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION
GOBP_QUINOLINATE_METABOLIC_PROCESS,3.428150987,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_QUINOLINATE_METABOLIC_PROCESS
GOBP_PHAGOCYTOSIS_ENGULFMENT,3.408970484,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PHAGOCYTOSIS_ENGULFMENT
GOBP_MAMMARY_GLAND_INVOLUTION,3.383179031,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MAMMARY_GLAND_INVOLUTION
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS,3.383179031,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION,3.381518415,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,3.371454186,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE
GOBP_RESPONSE_TO_DEXAMETHASONE,3.359967897,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_DEXAMETHASONE
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,3.342360905,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION,3.321357168,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,3.319672175,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS
GOBP_MITOCHONDRIAL_TRANSLATION,3.306513582,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOCHONDRIAL_TRANSLATION
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,3.289481281,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS,3.282427726,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EPITHELIAL_CELL_APOPTOTIC_PROCESS
GOBP_MEMBRANE_INVAGINATION,3.274523331,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MEMBRANE_INVAGINATION
GOBP_HETEROTYPIC_CELL_CELL_ADHESION,3.274523331,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_HETEROTYPIC_CELL_CELL_ADHESION
GOBP_ORGANELLE_MEMBRANE_FUSION,3.27378733,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANELLE_MEMBRANE_FUSION
GOBP_AMINE_METABOLIC_PROCESS,3.259602743,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_AMINE_METABOLIC_PROCESS
GOBP_TRANSCRIPTION_INITIATION_COUPLED_CHROMATIN_REMODELING,3.252817997,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_TRANSCRIPTION_INITIATION_COUPLED_CHROMATIN_REMODELING
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL,3.251357395,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_POTENTIAL
GOBP_MEMBRANE_DOCKING,3.2198845,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MEMBRANE_DOCKING
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY,3.205107633,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS,3.179920163,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS
GOBP_DEFENSE_RESPONSE_TO_FUNGUS,3.179920163,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DEFENSE_RESPONSE_TO_FUNGUS
GOBP_NEURON_CELLULAR_HOMEOSTASIS,3.178495231,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEURON_CELLULAR_HOMEOSTASIS
GOBP_REGULATION_OF_MACROAUTOPHAGY,3.177234946,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_MACROAUTOPHAGY
GOBP_PEPTIDYL_LYSINE_ACETYLATION,3.174914946,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PEPTIDYL_LYSINE_ACETYLATION
GOBP_RENAL_TUBULE_DEVELOPMENT,3.15507089,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RENAL_TUBULE_DEVELOPMENT
GOBP_VASCULOGENESIS,3.140101853,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_VASCULOGENESIS
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,3.140101853,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS
GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,3.140101853,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS
GOBP_RESPONSE_TO_DSRNA,3.137365847,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_DSRNA
GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,3.12259156,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MHC_CLASS_II_BIOSYNTHETIC_PROCESS
GOBP_REPLICATION_FORK_PROCESSING,3.121060785,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REPLICATION_FORK_PROCESSING
GOBP_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS,3.101276098,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS
GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,3.101276098,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS
GOBP_ORGANELLE_FUSION,3.095997778,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ORGANELLE_FUSION
GOBP_PLASMA_MEMBRANE_ORGANIZATION,3.094276308,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PLASMA_MEMBRANE_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT,3.09398821,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION,3.09398821,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION
GOBP_EXIT_FROM_MITOSIS,3.09398821,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EXIT_FROM_MITOSIS
GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS,3.093309517,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_INCREASED_OXYGEN_LEVELS
GOBP_FATTY_ACID_METABOLIC_PROCESS,3.079046788,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_FATTY_ACID_METABOLIC_PROCESS
GOBP_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,3.069852276,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ETHANOLAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS
GOBP_CELL_CELL_SIGNALING_BY_WNT,3.069527222,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_CELL_CELL_SIGNALING_BY_WNT
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,3.061470993,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR
GOBP_MITOTIC_CYTOKINESIS,3.060400306,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOTIC_CYTOKINESIS
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,3.036245127,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY
GOBP_MACROPHAGE_ACTIVATION,3.027075076,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MACROPHAGE_ACTIVATION
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,3.011426993,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_COLLAGEN_FIBRIL_ORGANIZATION
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION,2.995632542,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT,2.989080194,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,2.985172738,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION,2.985172738,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION
GOBP_REGULATION_OF_EXIT_FROM_MITOSIS,2.982798525,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_EXIT_FROM_MITOSIS
GOBP_RESPONSE_TO_MACROPHAGE_COLONY_STIMULATING_FACTOR,2.982798525,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_RESPONSE_TO_MACROPHAGE_COLONY_STIMULATING_FACTOR
GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION,2.980906485,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION
GOBP_REGULATION_OF_CELL_KILLING,2.977157797,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_CELL_KILLING
GOBP_GRANULOCYTE_CHEMOTAXIS,2.975472489,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GRANULOCYTE_CHEMOTAXIS
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,2.960049614,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,2.930750347,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION
GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS,2.928816754,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_MITOCHONDRIAL_CALCIUM_ION_HOMEOSTASIS
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,2.919139536,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY
GOBP_SECRETORY_GRANULE_ORGANIZATION,2.919139536,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_SECRETORY_GRANULE_ORGANIZATION
GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS,2.919074172,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2.91024539,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING,2.907243543,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING
GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT,2.893045274,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT
GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY,2.855650517,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY
GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS,2.855650517,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS
GOBP_GRANULOCYTE_MIGRATION,2.85195163,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_GRANULOCYTE_MIGRATION
GOBP_BIOGENIC_AMINE_METABOLIC_PROCESS,2.848119719,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_BIOGENIC_AMINE_METABOLIC_PROCESS
GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION,2.844795356,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,2.844070812,NA,#VALUE!,http://www.gsea-msigdb.org/gsea/msigdb/human/geneset/GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING
