GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000130764	1	3696784	3713068	81	15	91261	0.23265	0.40802	LRRC47
ENSG00000116198	1	3728645	3773778	290	16	91261	0.73114	0.23235	CEP104
ENSG00000169598	1	3773845	3801993	162	22	91261	0.20302	0.41956	DFFB
ENSG00000198912	1	3805689	3816857	44	8	91261	0.65213	0.25716	C1orf174
ENSG00000196581	1	4714792	4852594	670	79	91261	-0.2492	0.5984	AJAP1
ENSG00000131697	1	5922871	6052533	389	19	91261	0.91074	0.18122	NPHP4
ENSG00000069424	1	6051526	6161253	309	45	91261	-0.20328	0.58054	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	91261	-0.93498	0.8251	AL035406.1
ENSG00000116254	1	6161853	6240183	271	28	91261	-0.93881	0.82609	CHD5
ENSG00000116251	1	6241329	6269449	64	12	91261	-0.76692	0.77843	RPL22
ENSG00000158286	1	6265535	6281359	37	5	91261	-0.85159	0.80278	RNF207
ENSG00000116237	1	6281253	6296032	31	6	91261	-1.2418	0.89284	ICMT
ENSG00000173673	1	6304252	6305638	4	1	91261	0.22186	0.41221	HES3
ENSG00000158292	1	6307406	6321035	38	3	91261	-0.93755	0.82576	GPR153
ENSG00000097021	1	6324329	6454451	427	26	91261	-0.83684	0.79866	ACOT7
ENSG00000069812	1	6472478	6484730	41	8	91261	-0.60882	0.72868	HES2
ENSG00000187017	1	6484848	6521430	109	12	91261	-0.81348	0.79203	ESPN
ENSG00000215788	1	6521211	6526255	13	5	91261	0.073905	0.47054	TNFRSF25
ENSG00000171680	1	6526152	6580121	144	24	91261	-0.19381	0.57684	PLEKHG5
ENSG00000162408	1	6581407	6614595	105	3	91261	-0.5642	0.71369	NOL9
ENSG00000173662	1	6615241	6639817	41	7	91261	0.30174	0.38143	TAS1R1
ENSG00000204859	1	6640061	6649340	9	4	91261	0.38094	0.35162	ZBTB48
ENSG00000162413	1	6650784	6674667	46	10	91261	1.5736	0.057784	KLHL21
ENSG00000116273	1	6673745	6684093	20	4	91261	1.2624	0.1034	PHF13
ENSG00000041988	1	6684926	6695646	32	6	91261	1.7986	0.036043	THAP3
ENSG00000007923	1	6694228	6761984	143	17	91261	0.81262	0.20822	DNAJC11
ENSG00000171735	1	6845384	7829766	2713	202	91261	-0.44657	0.67241	CAMTA1
ENSG00000049245	1	7831329	7841492	34	9	91261	-0.59098	0.72273	VAMP3
ENSG00000049246	1	7844380	7905237	224	26	91261	0.021145	0.49157	PER3
ENSG00000049247	1	7903143	7913572	41	12	91261	-0.31573	0.62389	UTS2
ENSG00000049249	1	7979907	8000926	41	6	91261	1.7319	0.041647	TNFRSF9
ENSG00000116288	1	8014351	8045565	60	9	91261	0.22645	0.41042	PARK7
ENSG00000116285	1	8064464	8086368	32	6	91261	-0.86349	0.80607	ERRFI1
ENSG00000162426	1	8377886	8404227	82	13	91261	0.25344	0.39996	SLC45A1
ENSG00000142599	1	8412457	8877702	689	26	91261	0.23667	0.40646	RERE
ENSG00000074800	1	8921061	8939308	25	5	91261	0.79113	0.21443	ENO1
ENSG00000131686	1	9005926	9035151	120	24	91261	2.0734	0.019066	CA6
ENSG00000197241	1	9063359	9086404	77	19	91261	0.50396	0.30714	SLC2A7
ENSG00000142583	1	9095166	9148537	175	24	91261	-0.76034	0.77648	SLC2A5
ENSG00000180758	1	9160364	9189229	71	10	91261	0.63734	0.26195	GPR157
ENSG00000049239	1	9294834	9331396	100	17	91261	1.3256	0.092484	H6PD
ENSG00000171621	1	9352939	9429591	327	45	91261	-0.39132	0.65222	SPSB1
ENSG00000171612	1	9599541	9645237	62	9	91261	1.118	0.13179	SLC25A33
ENSG00000188807	1	9648932	9674935	37	7	91261	0.32551	0.3724	TMEM201
ENSG00000171608	1	9711790	9789172	137	27	91261	2.5974	0.0046967	PIK3CD
ENSG00000179840	1	9712668	9714644	4	1	91261	1.0834	0.13931	C1orf200
ENSG00000171603	1	9789084	9884584	123	14	91261	-0.15187	0.56035	CLSTN1
ENSG00000178585	1	9908334	9970394	72	12	91261	0.25441	0.39959	CTNNBIP1
ENSG00000162441	1	9982173	10003465	43	9	91261	0.63323	0.26329	LZIC
ENSG00000173614	1	10003486	10045559	76	11	91261	-0.9674	0.83333	NMNAT1
ENSG00000162444	1	10057264	10076078	38	5	91261	-0.92899	0.82355	RBP7
ENSG00000130939	1	10092890	10241297	306	19	91261	-1.43	0.92364	UBE4B
ENSG00000054523	1	10270863	10441661	533	16	91261	0.27711	0.39085	KIF1B
ENSG00000142657	1	10458649	10480201	55	9	91261	0.10229	0.45927	PGD
ENSG00000251503	1	10490159	10512210	51	7	91261	-0.44963	0.67351	APITD1-CORT
ENSG00000175279	1	10490159	10512210	51	7	91261	-0.44963	0.67351	APITD1
ENSG00000241563	1	10509776	10511959	4	2	91261	-0.047476	0.51893	CORT
ENSG00000160049	1	10516579	10532583	18	4	91261	-2.6831	0.99635	DFFA
ENSG00000142655	1	10532345	10690815	365	27	91261	0.13746	0.44533	PEX14
ENSG00000130940	1	10696661	10856707	448	83	91261	-1.2606	0.89627	CASZ1
ENSG00000175262	1	11006528	11042094	128	17	91261	0.92504	0.17747	C1orf127
ENSG00000120948	1	11072414	11085796	20	4	91261	-0.011827	0.50472	TARDBP
ENSG00000009724	1	11086580	11107290	56	8	91261	-0.31504	0.62364	MASP2
ENSG00000116649	1	11114641	11120081	7	2	91261	0.064737	0.47419	SRM
ENSG00000171824	1	11126675	11159938	97	6	91261	0.27722	0.39081	EXOSC10
ENSG00000198793	1	11166592	11322564	332	10	91261	0.35707	0.36052	MTOR
ENSG00000171819	1	11249398	11256038	15	3	91261	-0.69559	0.75666	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	6	91261	0.036922	0.48527	UBIAD1
ENSG00000204624	1	11539223	11597641	146	14	91261	0.044498	0.48225	PTCHD2
ENSG00000116661	1	11708424	11715842	22	12	91261	0.7879	0.21538	FBXO2
ENSG00000132879	1	11714432	11723384	24	8	91261	0.11938	0.45249	FBXO44
ENSG00000116663	1	11724181	11734411	31	8	91261	-1.0013	0.84165	FBXO6
ENSG00000116670	1	11734537	11751707	66	13	91261	-0.5581	0.71161	MAD2L2
ENSG00000162490	1	11751786	11785914	100	19	91261	-0.55095	0.70917	DRAXIN
ENSG00000177674	1	11796141	11814859	55	9	91261	0.52883	0.29846	AGTRAP
ENSG00000215910	1	11821844	11849642	155	11	91261	0.6429	0.26014	C1orf167
ENSG00000177000	1	11845780	11866977	81	11	91261	0.72397	0.23454	MTHFR
ENSG00000011021	1	11866207	11903201	193	14	91261	0.86188	0.19438	CLCN6
ENSG00000175206	1	11905766	11908402	14	5	91261	0.249	0.40168	NPPA
ENSG00000116685	1	11979648	11986485	23	7	91261	0.78689	0.21567	KIAA2013
ENSG00000083444	1	11994262	12035595	118	13	91261	0.042083	0.48322	PLOD1
ENSG00000116688	1	12040238	12073571	82	9	91261	-0.092675	0.53692	MFN2
ENSG00000116691	1	12079523	12092102	21	4	91261	-0.24479	0.59669	MIIP
ENSG00000120949	1	12123434	12204264	213	40	91261	-1.2618	0.89649	TNFRSF8
ENSG00000028137	1	12227060	12269285	124	16	91261	-1.4028	0.91966	TNFRSF1B
ENSG00000048707	1	12290124	12572099	364	30	91261	-0.67943	0.75157	VPS13D
ENSG00000162496	1	12627939	12677737	171	32	91261	-0.18877	0.57486	DHRS3
ENSG00000204518	1	12704566	12727097	55	6	91261	-1.503	0.93358	AADACL4
ENSG00000188984	1	12776118	12788726	44	6	91261	-0.26124	0.60305	AADACL3
ENSG00000157330	1	12806163	12823847	52	11	91261	0.83893	0.20075	C1orf158
ENSG00000116726	1	12834984	12838049	7	3	91261	-0.85253	0.80304	PRAMEF12
ENSG00000116721	1	12851546	12856777	7	4	91261	0.39035	0.34814	PRAMEF1
ENSG00000204513	1	12884468	12891264	14	4	91261	1.3828	0.083364	PRAMEF11
ENSG00000179172	1	12907261	12908578	3	1	91261	1.6011	0.054679	HNRNPCL1
ENSG00000120952	1	12916941	12921764	22	4	91261	1.6802	0.04646	PRAMEF2
ENSG00000162494	1	13801445	13840543	173	36	91261	-1.7427	0.9593	LRRC38
ENSG00000162493	1	13909960	13944452	101	24	91261	1.9159	0.027689	PDPN
ENSG00000116731	1	14026693	14151574	369	27	91261	-0.041799	0.51667	PRDM2
ENSG00000189337	1	14925200	15444539	1897	192	91261	-1.5692	0.9417	KAZN
ENSG00000171729	1	15479028	15546976	355	27	91261	0.90633	0.18238	TMEM51
ENSG00000204464	1	15490840	15497813	26	7	91261	-0.10869	0.54327	C1orf195
ENSG00000142621	1	15573768	15726779	465	56	91261	-1.5948	0.94462	FHAD1
ENSG00000142634	1	15736391	15756839	65	19	91261	-0.51865	0.698	EFHD2
ENSG00000162438	1	15764935	15775737	23	8	91261	0.099675	0.4603	CTRC
ENSG00000142615	1	15783223	15798586	59	8	91261	0.18758	0.4256	CELA2A
ENSG00000215704	1	15792404	15817895	84	13	91261	1.4757	0.070009	CELA2B
ENSG00000132906	1	15817327	15853029	127	8	91261	1.9219	0.027309	CASP9
ENSG00000116138	1	15853308	15918874	209	14	91261	1.7133	0.043326	DNAJC16
ENSG00000116771	1	15898848	15911605	52	5	91261	1.3021	0.096447	AGMAT
ENSG00000197312	1	15943995	15995539	114	7	91261	0.43439	0.332	DDI2
ENSG00000215695	1	15986364	15988217	3	2	91261	1.1678	0.12144	RSC1A1
ENSG00000116786	1	16010827	16061264	146	12	91261	0.58886	0.27798	PLEKHM2
ENSG00000162461	1	16062900	16067891	6	3	91261	1.1152	0.13239	SLC25A34
ENSG00000162460	1	16068917	16074477	12	3	91261	0.13071	0.448	TMEM82
ENSG00000162458	1	16083102	16113089	65	11	91261	0.48418	0.31413	FBLIM1
ENSG00000065526	1	16174359	16266955	137	16	91261	0.44391	0.32856	SPEN
ENSG00000116809	1	16268364	16302627	52	11	91261	0.45468	0.32467	ZBTB17
ENSG00000183888	1	16330731	16335302	15	5	91261	-0.43261	0.66735	C1orf64
ENSG00000173641	1	16340523	16346089	44	5	91261	0.33156	0.37011	HSPB7
ENSG00000186510	1	16345370	16360545	83	12	91261	-0.0086588	0.50345	CLCNKA
ENSG00000184908	1	16370272	16383803	115	12	91261	-0.52507	0.70023	CLCNKB
ENSG00000185519	1	16384264	16400127	49	6	91261	-0.17515	0.56952	FAM131C
ENSG00000142627	1	16450832	16482582	55	12	91261	1.2913	0.098307	EPHA2
ENSG00000142632	1	16524349	16539104	47	5	91261	0.14773	0.44128	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	91261	1.683	0.046183	C1orf134
ENSG00000132881	1	16558195	16563657	14	5	91261	0.68883	0.24547	RSG1
ENSG00000037637	1	16573334	16678949	220	13	91261	2.3763	0.0087432	FBXO42
ENSG00000055070	1	16679070	16724640	99	11	91261	1.8185	0.034497	SZRD1
ENSG00000187144	1	16713612	16763919	129	20	91261	0.46984	0.31923	SPATA21
ENSG00000157191	1	16767167	16786573	41	9	91261	-1.1488	0.87469	NECAP2
ENSG00000058453	1	17066768	17299474	154	17	91261	0.18197	0.4278	CROCC
ENSG00000117122	1	17300997	17307330	17	4	91261	0.64743	0.25868	MFAP2
ENSG00000159363	1	17312453	17338423	53	11	91261	1.0413	0.14886	ATP13A2
ENSG00000117118	1	17345217	17380665	120	12	91261	-0.070847	0.52824	SDHB
ENSG00000117115	1	17393256	17445948	258	14	91261	-0.32545	0.62758	PADI2
ENSG00000142623	1	17531621	17572500	165	43	91261	0.21926	0.41322	PADI1
ENSG00000142619	1	17575593	17610728	166	23	91261	1.6542	0.049048	PADI3
ENSG00000159339	1	17634690	17690499	289	22	91261	0.0050365	0.49799	PADI4
ENSG00000269468	1	17655507	17676070	147	13	91261	-0.35085	0.63715	AC004824.2
ENSG00000179051	1	17733256	17766220	68	10	91261	0.34439	0.36527	RCC2
ENSG00000074964	1	17866330	18024369	404	46	91261	0.6675	0.25223	ARHGEF10L
ENSG00000117148	1	18081808	18153558	212	24	91261	-0.87337	0.80877	ACTL8
ENSG00000117154	1	18434240	18704977	1001	122	91261	-0.38875	0.65127	IGSF21
ENSG00000179023	1	18807424	18812478	26	6	91261	1.3133	0.09454	KLHDC7A
ENSG00000009709	1	18957500	19075360	355	60	91261	-0.024252	0.50967	PAX7
ENSG00000179002	1	19166093	19186176	99	18	91261	0.035192	0.48596	TAS1R2
ENSG00000255275	1	19175767	19247615	327	37	91261	0.054631	0.47822	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	136	19	91261	0.48867	0.31254	ALDH4A1
ENSG00000169991	1	19230775	19283180	155	28	91261	0.0092888	0.49629	IFFO2
ENSG00000127481	1	19401000	19536770	253	16	91261	0.64042	0.26095	UBR4
ENSG00000127463	1	19542158	19578046	103	12	91261	1.3739	0.084732	EMC1
ENSG00000053372	1	19578033	19586622	53	8	91261	1.3407	0.090011	MRTO4
ENSG00000162482	1	19609052	19615744	27	5	91261	-0.87542	0.80933	AKR7A3
ENSG00000053371	1	19630459	19638640	25	9	91261	0.72751	0.23346	AKR7A2
ENSG00000040487	1	19638820	19655794	78	11	91261	-1.1046	0.86534	PQLC2
ENSG00000077549	1	19665267	19812066	507	22	91261	0.13222	0.4474	CAPZB
ENSG00000270136	1	19923473	19984549	172	29	91261	-0.45658	0.67601	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	73	12	91261	-0.64294	0.73987	MINOS1
ENSG00000158747	1	19967048	19984945	62	18	91261	0.29991	0.38212	NBL1
ENSG00000158748	1	19991780	20006055	39	7	91261	-0.46221	0.67803	HTR6
ENSG00000162542	1	20008706	20126438	402	51	91261	-1.3468	0.91098	TMCO4
ENSG00000178828	1	20140523	20141771	6	4	91261	0.8715	0.19174	RNF186
ENSG00000169914	1	20209006	20239438	75	14	91261	0.37833	0.35259	OTUD3
ENSG00000188784	1	20246502	20250110	15	4	91261	-0.21044	0.58334	PLA2G2E
ENSG00000188257	1	20301925	20306932	13	5	91261	0.14522	0.44227	PLA2G2A
ENSG00000127472	1	20354672	20417683	203	23	91261	-0.68849	0.75443	PLA2G5
ENSG00000117215	1	20438432	20446050	24	9	91261	-0.70126	0.75843	PLA2G2D
ENSG00000158786	1	20465819	20476879	25	12	91261	-0.01314	0.50524	PLA2G2F
ENSG00000187980	1	20487746	20503917	48	10	91261	-1.4071	0.9203	PLA2G2C
ENSG00000162543	1	20512578	20522541	9	3	91261	-2.0687	0.98071	UBXN10
ENSG00000158816	1	20617412	20681387	236	29	91261	-0.27114	0.60686	VWA5B1
ENSG00000162545	1	20808884	20812713	4	2	91261	1.3181	0.093739	CAMK2N1
ENSG00000090432	1	20825943	20834654	24	8	91261	-0.29543	0.61617	MUL1
ENSG00000183114	1	20878932	20881512	3	1	91261	-1.1613	0.87723	FAM43B
ENSG00000158825	1	20915441	20945401	119	18	91261	2.1539	0.015623	CDA
ENSG00000158828	1	20959948	20978004	70	10	91261	0.78468	0.21632	PINK1
ENSG00000244038	1	20978270	20988000	27	6	91261	0.7958	0.21307	DDOST
ENSG00000117245	1	20990507	21044510	203	43	91261	0.055004	0.47807	KIF17
ENSG00000189410	1	21046225	21059330	37	9	91261	-0.66495	0.74696	SH2D5
ENSG00000127483	1	21069154	21113816	96	15	91261	0.25607	0.39895	HP1BP3
ENSG00000075151	1	21132963	21503377	699	25	91261	0.45412	0.32487	EIF4G3
ENSG00000117298	1	21543740	21671997	342	36	91261	0.34315	0.36574	ECE1
ENSG00000142794	1	21766621	21811498	147	13	91261	1.0789	0.14031	NBPF3
ENSG00000162551	1	21835858	21904905	304	27	91261	3.8703	5.4356e-05	ALPL
ENSG00000076864	1	21922708	21995801	261	36	91261	1.9785	0.023934	RAP1GAP
ENSG00000090686	1	22004791	22110099	326	26	91261	-0.17978	0.57134	USP48
ENSG00000187942	1	22138758	22151714	41	16	91261	1.0448	0.14807	LDLRAD2
ENSG00000142798	1	22148738	22263790	359	34	91261	0.22037	0.41279	HSPG2
ENSG00000219073	1	22303514	22325135	132	15	91261	0.24833	0.40194	CELA3B
ENSG00000142789	1	22328149	22339032	42	7	91261	-0.29192	0.61483	CELA3A
ENSG00000070831	1	22379120	22419437	98	14	91261	-0.92334	0.82208	CDC42
ENSG00000162552	1	22443798	22470462	89	16	91261	-0.96613	0.83301	WNT4
ENSG00000184677	1	22778344	22857650	142	17	91261	-0.013751	0.50549	ZBTB40
ENSG00000070886	1	22890057	22930087	143	23	91261	-1.5743	0.9423	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	91261	-2.1128	0.98269	C1QA
ENSG00000159189	1	22970123	22974603	22	4	91261	-0.43223	0.66721	C1QC
ENSG00000173369	1	22979255	22988031	25	5	91261	-0.90211	0.8165	C1QB
ENSG00000133216	1	23037332	23241818	452	55	91261	1.0448	0.14806	EPHB2
ENSG00000215906	1	23279536	23291831	37	9	91261	1.8159	0.034691	LACTBL1
ENSG00000227868	1	23337327	23342343	9	3	91261	1.3305	0.091677	C1orf234
ENSG00000004487	1	23345941	23410182	75	10	91261	0.69958	0.2421	KDM1A
ENSG00000169641	1	23410516	23504301	167	19	91261	0.0287	0.48855	LUZP1
ENSG00000179546	1	23516993	23521222	9	2	91261	0.99413	0.16008	HTR1D
ENSG00000125944	1	23630264	23670829	34	6	91261	0.33557	0.3686	HNRNPR
ENSG00000125945	1	23685941	23695935	28	6	91261	1.3136	0.094487	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	91261	0.89717	0.18482	C1orf213
ENSG00000204219	1	23707554	23751233	114	18	91261	0.77602	0.21887	TCEA3
ENSG00000088280	1	23755056	23811061	109	14	91261	1.6167	0.052969	ASAP3
ENSG00000007968	1	23832922	23857712	49	7	91261	0.26201	0.39666	E2F2
ENSG00000117318	1	23884409	23886285	9	4	91261	-0.20024	0.57935	ID3
ENSG00000197880	1	23907985	23967058	114	27	91261	0.13493	0.44634	MDS2
ENSG00000142676	1	24018269	24022915	7	3	91261	2.077	0.018899	RPL11
ENSG00000011007	1	24069645	24088549	20	8	91261	0.36262	0.35844	TCEB3
ENSG00000057757	1	24104895	24114722	8	4	91261	-2.3789	0.99132	PITHD1
ENSG00000011009	1	24117460	24122029	2	1	91261	-2.3113	0.98959	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	91261	-1.9268	0.973	GALE
ENSG00000117305	1	24128375	24165110	42	4	91261	-0.53319	0.70305	HMGCL
ENSG00000179163	1	24171567	24194784	45	6	91261	-0.24654	0.59737	FUCA1
ENSG00000188822	1	24197016	24285549	216	14	91261	0.023832	0.49049	CNR2
ENSG00000189266	1	24285599	24289952	5	2	91261	1.4804	0.069383	PNRC2
ENSG00000188529	1	24291294	24307417	4	2	91261	2.0547	0.019956	SRSF10
ENSG00000142661	1	24382525	24438665	181	21	91261	0.72202	0.23514	MYOM3
ENSG00000142677	1	24446261	24469611	66	13	91261	-1.0851	0.86106	IL22RA1
ENSG00000185436	1	24480647	24514449	119	19	91261	-0.3025	0.61887	IFNLR1
ENSG00000158055	1	24645812	24690972	93	20	91261	0.91246	0.18076	GRHL3
ENSG00000001460	1	24683489	24743424	156	16	91261	0.16902	0.43289	STPG1
ENSG00000001461	1	24742284	24799466	163	15	91261	0.41803	0.33796	NIPAL3
ENSG00000117602	1	24829387	24867530	108	14	91261	-0.62277	0.73328	RCAN3
ENSG00000184454	1	24882602	24935819	218	28	91261	-0.50535	0.69334	NCMAP
ENSG00000133226	1	24958207	24999758	41	7	91261	-0.34647	0.63551	SRRM1
ENSG00000169504	1	25071848	25170815	94	11	91261	1.1069	0.13416	CLIC4
ENSG00000020633	1	25226002	25291612	128	26	91261	1.5192	0.064361	RUNX3
ENSG00000117614	1	25549170	25558993	6	4	91261	0.68831	0.24563	SYF2
ENSG00000117616	1	25568728	25664704	22	9	91261	-0.48215	0.68515	C1orf63
ENSG00000187010	1	25598884	25656936	1	1	91261	0.35258	0.3622	RHD
ENSG00000183726	1	25664408	25688852	27	7	91261	0.78964	0.21487	TMEM50A
ENSG00000188672	1	25688740	25756683	76	5	91261	1.7862	0.037032	RHCE
ENSG00000204178	1	25757388	25826700	106	5	91261	0.79071	0.21456	TMEM57
ENSG00000157978	1	25870071	25895377	75	11	91261	0.162	0.43565	LDLRAP1
ENSG00000117643	1	25943959	26112698	281	24	91261	-0.81105	0.79133	MAN1C1
ENSG00000162430	1	26126667	26144713	42	5	91261	0.48333	0.31443	SEPN1
ENSG00000255054	1	26137961	26150235	33	4	91261	0.36189	0.35872	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	35	3	91261	0.3345	0.369	MTFR1L
ENSG00000223474	1	26145212	26147288	7	3	91261	0.82188	0.20557	AL020996.1
ENSG00000127423	1	26158414	26185903	64	3	91261	-0.44302	0.67112	AUNIP
ENSG00000182749	1	26187701	26197744	7	2	91261	0.23485	0.40716	PAQR7
ENSG00000117632	1	26210672	26233482	30	6	91261	-1.8329	0.96659	STMN1
ENSG00000158006	1	26286258	26324648	87	7	91261	-1.4834	0.93102	PAFAH2
ENSG00000158008	1	26346375	26362955	26	7	91261	0.2206	0.4127	EXTL1
ENSG00000158014	1	26363743	26372624	19	3	91261	-0.30116	0.61835	SLC30A2
ENSG00000158022	1	26377795	26394927	42	6	91261	1.8652	0.031074	TRIM63
ENSG00000175087	1	26437664	26452034	33	3	91261	1.8273	0.03383	PDIK1L
