# MEAN_SAMPLE_SIZE = 91261
# TOTAL_GENES = 18735
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_beta_...          SET      21     -0.16174   -0.0054123      0.17189      0.82663 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET      10     0.049564    0.0011448      0.24168      0.41876 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      25    -0.074975   -0.0027371       0.1617      0.67855 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      46      0.20718     0.010254      0.12567     0.049626 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      46     -0.23283    -0.011523      0.13491       0.9578 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      45    -0.070423   -0.0034473      0.10851      0.74183 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      15     -0.43346    -0.012261      0.18093       0.9917 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29       0.1289    0.0050677      0.17483      0.23048 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      44      -0.1869   -0.0090473      0.11065       0.9544 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20     -0.18302   -0.0059766      0.16962       0.8597 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21      0.13364     0.004472      0.17697      0.22508 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      15      0.19728    0.0055801       0.2056      0.16865 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25      0.16989    0.0062022      0.16357      0.14949 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      45     -0.19343   -0.0094687      0.11714      0.95064 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     0.090031    0.0047819      0.10676      0.19953 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      23    -0.096904   -0.0033933      0.14262      0.75158 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      75      0.09872    0.0062338      0.08715      0.12867 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33      0.16324    0.0068453      0.13947      0.12092 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      58     0.091983    0.0051101      0.11001      0.20156 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29     0.035463    0.0013942      0.15508      0.40956 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19      0.17209    0.0054778      0.17725       0.1658 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      37    -0.066072   -0.0029334      0.13512      0.68757 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      25      0.11755    0.0042912      0.17123      0.24621 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13    -0.089795   -0.0023646      0.20753      0.66737 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15     0.056007    0.0015842      0.21238        0.396 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      39      0.14569    0.0066405      0.12743      0.12646 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16     -0.19204   -0.0056098      0.19505      0.83758 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     -0.39223    -0.016197       0.1537      0.99464 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32     -0.30301    -0.012512      0.14329      0.98276 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17    -0.088383   -0.0026612      0.17232      0.69598 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15     -0.32318   -0.0091412      0.19473       0.9515 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24    -0.019408  -0.00069421      0.16674      0.54633 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      16      0.31007    0.0090578      0.20644     0.066562 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11        0.379     0.009181      0.28932     0.095114 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      60     -0.12286   -0.0069416      0.12494      0.83726 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      38     -0.33992    -0.015294      0.15782      0.98437 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15    -0.054318   -0.0015364      0.19426      0.61011 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET      10     -0.38871   -0.0089784      0.22751      0.95622 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21     -0.12605   -0.0042177      0.17134      0.76903 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11     -0.19932   -0.0048285      0.23942      0.79743 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41        0.299     0.013973      0.11408    0.0043867 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      66     0.095005    0.0056291      0.12814      0.22922 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      66    -0.041395   -0.0024526      0.13167      0.62338 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      49    -0.091292   -0.0046628      0.12904      0.76035 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      21     -0.25504    -0.008534      0.17151      0.93149 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      43     -0.12263   -0.0058683      0.13282      0.82207 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      80     -0.14829   -0.0096697     0.083763      0.96166 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      56    -0.050195   -0.0027403       0.1019      0.68884 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      26      0.25742    0.0095831      0.12618      0.02068 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      30     -0.16282   -0.0065103      0.13814      0.88072 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      34     0.088101    0.0037498      0.12895      0.24724 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     118    -0.070298   -0.0055616     0.065974      0.85668 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      47     -0.03884    -0.001943      0.11016       0.6378 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      23      0.12509    0.0043802      0.15108      0.20386 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      67      0.11197    0.0066839     0.098588      0.12805 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      32   -0.0078875  -0.00032571      0.13606      0.52311 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      40    0.0057549   0.00026564       0.1144      0.47994 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22      -0.2422    -0.008295      0.18632      0.90318 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28    -0.093218   -0.0036011      0.15119      0.73123 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      13    -0.091994   -0.0024225      0.22669      0.65756 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     256     0.030838    0.0035801     0.051757      0.27565 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      85     0.042381    0.0028483     0.094209      0.32641 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     167     0.023438     0.002203     0.067086      0.36341 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     250    -0.041786   -0.0047947     0.057828      0.76503 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     182     0.087168    0.0085498     0.061991     0.079851 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      76     0.044083    0.0028021     0.089434      0.31104 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     250     0.043418     0.004982     0.057089      0.22348 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     121     0.056564    0.0045312     0.067839      0.20221 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     107     0.011698   0.00088151     0.075203       0.4382 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      67       0.2014     0.012023      0.10388     0.026265 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     125    0.0013609   0.00011079     0.069602       0.4922 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36     0.032719    0.0014329       0.1278      0.39897 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      31     -0.18518   -0.0075265      0.17281      0.85803 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     116    -0.078238   -0.0061373     0.069518      0.86979 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     178     0.059771    0.0057984     0.060923      0.16328 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      75    -0.086876   -0.0054858     0.088499      0.83686 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50     -0.17512   -0.0090348      0.11766      0.93165 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      81     0.024029    0.0015766      0.09288      0.39793 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      69     0.036589    0.0022165     0.096629      0.35247 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     111     0.040057    0.0030742     0.077834      0.30341 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     145       0.1171     0.010263      0.06723     0.040776 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24     0.069185    0.0024747      0.17129      0.34315 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47    -0.038384   -0.0019202      0.10415      0.64376 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      54    -0.025781   -0.0013821      0.11317       0.5901 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      84      0.15412     0.010297     0.090375      0.04408 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     124      0.10692    0.0086696     0.079091     0.088225 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77      0.19042     0.012183     0.090624     0.017818 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     193      0.10219     0.010318     0.059566     0.043133 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      83    -0.056098   -0.0037257     0.092016      0.72895 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     120    -0.012892   -0.0010285     0.080579      0.56356 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      70       0.1228    0.0074922      0.10378      0.11836 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     129      0.05892    0.0048724     0.075087      0.21632 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      88     0.082973    0.0056734     0.092271      0.18427 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      66     0.063432    0.0037584      0.10498      0.27285 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      78      0.10963    0.0070594      0.10726      0.15337 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16      0.27355     0.007991       0.2467      0.13376 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET     100       0.0383    0.0027907     0.085527      0.32715 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58      0.13056    0.0072532      0.10249      0.10136 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      66    -0.032208   -0.0019083      0.09887      0.62769 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      50     -0.13728   -0.0070824      0.11258      0.88863 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     146    -0.067043   -0.0058954      0.07423      0.81678 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      81    -0.043799   -0.0028738     0.096272      0.67543 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     129    0.0044217   0.00036565     0.078522      0.47755 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     104     0.057893    0.0043015     0.081316      0.23825 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      74      0.20806      0.01305     0.097044     0.016026 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      79      0.12987    0.0084158     0.091941     0.078903 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      94    -0.017293   -0.0012218     0.087674      0.57818 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     110     0.074544    0.0056953     0.080014      0.17577 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      41     -0.19746   -0.0092275      0.12874      0.93745 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13      0.16858    0.0044393       0.2246      0.22646 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      66      0.10923    0.0064717     0.099161      0.13534 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     121       0.1002    0.0080264     0.074743     0.090043 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68      0.21853     0.013142      0.10107     0.015307 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     337     0.018873    0.0025084     0.060137      0.37683 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      47     0.025736    0.0012874      0.14183      0.42801 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     200      0.10296     0.010581     0.059324     0.041328 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     132      0.04008    0.0033525        0.071      0.28621 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98     0.061309    0.0044227     0.082687      0.22921 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      81     0.052613    0.0034521      0.08595      0.27023 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      99     0.047943     0.003476     0.082021      0.27944 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      64     0.098386    0.0057407       0.1042      0.17255 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      47       0.1715    0.0085794      0.12055     0.077425 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      39    -0.069842   -0.0031833      0.14494      0.68504 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      25      0.19204    0.0070108      0.16225      0.11829 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      41      0.19583    0.0091512      0.13552     0.074232 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      42      0.11499    0.0054388      0.12703      0.18267 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     -0.21341    -0.007309      0.17307      0.89122 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     156     0.024515    0.0022277     0.061893      0.34603 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     111    -0.022991   -0.0017645     0.070115      0.62851 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      52     0.033936    0.0017854      0.10891      0.37767 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     169     0.018119    0.0017131     0.057108      0.37552 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      33    -0.054552   -0.0022875      0.15448        0.638 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      52     0.058864    0.0030969      0.11561      0.30533 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      65       0.2153      0.01266     0.099504     0.015249 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      55    -0.077888    -0.004214      0.11111      0.75833 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      64     0.031512    0.0018387       0.1057      0.38281 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     314      0.11135     0.014294     0.048248      0.01051 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.18035     0.010358      0.11284     0.055003 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68      0.14993    0.0090167      0.10133     0.069486 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67      0.17633     0.010526      0.10344     0.044141 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51      0.12539    0.0065332      0.11833      0.14466 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      65      0.11266    0.0066246      0.10389      0.13909 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86      0.15934     0.010771     0.088388      0.03572 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      28      0.34363     0.013275      0.16614     0.019314 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      54     -0.14459   -0.0077518      0.10862      0.90843 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69      0.11706    0.0070911      0.10502      0.13251 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40      0.21212    0.0097912      0.12941     0.050601 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72     0.098007    0.0060642     0.097126      0.15648 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      55     0.071364     0.003861        0.117      0.27095 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      81      0.10905     0.007155     0.092428      0.11904 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      54      0.18273    0.0097963      0.11647     0.058345 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      25    -0.064185   -0.0023432      0.16755      0.64917 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      46    -0.084251   -0.0041697      0.14323      0.72181 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET      99     -0.14098    -0.010221     0.092992      0.93523 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      32    -0.086034   -0.0035527      0.15623      0.70908 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      34    -0.027064   -0.0011519      0.15075      0.57124 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      32     -0.14242   -0.0058811      0.15726      0.81742 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      81    0.0043749   0.00028705     0.093353      0.48131 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      70    -0.015018  -0.00091631      0.10721       0.5557 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      86    -0.036729   -0.0024828     0.091084      0.65661 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      64     0.017321    0.0010107      0.11319      0.43919 Curated_gene_sets:kegg_viral_myocarditis
Curated_gene_sets:biocarta_r...14        SET      14      0.15707    0.0042922      0.20165      0.21802 Curated_gene_sets:biocarta_rela_pathway
